"","Service","City","Facility","State"
"677","VA Medical Center","Batavia","Batavia VA Medical Center","New York"
"678","VA Medical Center","Bath","Bath VA Medical Center","New York"
"679","VA Medical Center","Bronx","James J. Peters VA Medical Center","New York"
"680","VA Medical Center","Brooklyn","Brooklyn VA Medical Center","New York"
"681","VA Medical Center","Buffalo","Buffalo VA Medical Center","New York"
"682","VA Medical Center","Canandaigua","Canandaigua VA Medical Center","New York"
"683","VA Medical Center","Manhattan","Margaret Cochran Corbin VA Campus","New York"
"684","VA Medical Center","Montrose","Franklin Delano Roosevelt Hospital","New York"
"685","VA Medical Center","Northport","Northport VA Medical Center","New York"
"686","VA Medical Center","Syracuse","Syracuse VA Medical Center","New York"
"687","VA Medical Center","Wappingers Falls","Castle Point VA Medical Center","New York"
"688","Domiciliary","Jamaica","St. Albans Community Living Center","New York"
"689","Outpatient Clinic","Rochester","Rochester Calkins VA Clinic","New York"
"690","Community Based Outpatient Clinic","Auburn","Auburn VA Clinic","New York"
"691","Community Based Outpatient Clinic","Bainbridge","Bainbridge VA Clinic","New York"
"692","Community Based Outpatient Clinic","Bay Shore","Bay Shore VA Clinic","New York"
"693","Community Based Outpatient Clinic","Binghamton","Binghamton VA Clinic","New York"
"694","Community Based Outpatient Clinic","Buffalo","Buffalo VA Clinic","New York"
"695","Community Based Outpatient Clinic","Carmel","Carmel VA Clinic","New York"
"696","Community Based Outpatient Clinic","Catskill","Catskill VA Clinic","New York"
"697","Community Based Outpatient Clinic","Clifton Park","Clifton Park VA Clinic","New York"
"698","Community Based Outpatient Clinic","Cortland","VA Outpatient Clinic","New York"
"699","Community Based Outpatient Clinic","Dunkirk","Dunkirk VA Clinic","New York"
"700","Community Based Outpatient Clinic","East Meadow","East Meadow VA Clinic","New York"
"701","Community Based Outpatient Clinic","Elmira","Elmira VA Clinic","New York"
"702","Community Based Outpatient Clinic","Fonda","Fonda VA Clinic","New York"
"703","Community Based Outpatient Clinic","Freeville","Tompkins County VA Clinic","New York"
"704","Community Based Outpatient Clinic","Glens Falls","Glens Falls VA Clinic","New York"
"705","Community Based Outpatient Clinic","Goshen","Goshen VA Clinic","New York"
"706","Community Based Outpatient Clinic","Jamestown","Jamestown VA Clinic","New York"
"707","Community Based Outpatient Clinic","Kingston","Kingston VA Clinic","New York"
"708","Community Based Outpatient Clinic","Lackawanna","Lackawanna VA Clinic","New York"
"709","Community Based Outpatient Clinic","Lockport","Lockport VA Clinic","New York"
"710","Community Based Outpatient Clinic","Massena","Massena VA Clinic","New York"
"711","Community Based Outpatient Clinic","Monticello","Monticello VA Clinic","New York"
"712","Community Based Outpatient Clinic","New York","Harlem VA Clinic","New York"
"713","Community Based Outpatient Clinic","Niagara Falls","Niagara Falls VA Clinic","New York"
"714","Community Based Outpatient Clinic","Olean","Olean VA Clinic","New York"
"715","Community Based Outpatient Clinic","Oswego","Oswego VA Clinic","New York"
"716","Community Based Outpatient Clinic","Patchogue","Patchogue VA Clinic","New York"
"717","Community Based Outpatient Clinic","Pine Plains","Eastern Dutchess VA Clinic","New York"
"718","Community Based Outpatient Clinic","Plattsburgh","Plattsburgh VA Clinic","New York"
"719","Community Based Outpatient Clinic","Port Jervis","Port Jervis VA Clinic","New York"
"720","Community Based Outpatient Clinic","Poughkeepsie","Poughkeepsie VA Clinic","New York"
"721","Community Based Outpatient Clinic","Riverhead","Riverhead VA Clinic","New York"
"722","Community Based Outpatient Clinic","Rochester","Rochester Westfall VA Clinic","New York"
"723","Community Based Outpatient Clinic","Rome","Donald J. Mitchell Department of Veterans Affairs Outpatient Clinic","New York"
"724","Community Based Outpatient Clinic","Saranac Lake","Saranac Lake VA Clinic","New York"
"725","Community Based Outpatient Clinic","Schenectady","Schenectady VA Clinic","New York"
"726","Community Based Outpatient Clinic","Staten Island","Staten Island Community VA Clinic","New York"
"727","Community Based Outpatient Clinic","Springville","Springville VA Clinic","New York"
"728","Community Based Outpatient Clinic","Sunnyside","Thomas P. Noonan Jr. Department of Veterans Affairs Outpatient Clinic","New York"
"729","Community Based Outpatient Clinic","Troy","Troy VA Clinic","New York"
"730","Community Based Outpatient Clinic","Valley Stream","Valley Stream VA Clinic","New York"
"731","Community Based Outpatient Clinic","Watertown","Watertown VA Clinic","New York"
"732","Community Based Outpatient Clinic","Watertown","Watertown 2 VA Clinic CANI","New York"
"733","Community Based Outpatient Clinic","Wellsville","Wellsville VA Clinic","New York"
"734","Community Based Outpatient Clinic","Westport","Westport VA Clinic","New York"
"735","Community Based Outpatient Clinic","West Seneca","West Seneca VA Clinic","New York"
"736","Community Based Outpatient Clinic","White Plains","White Plains VA Clinic","New York"
"737","Community Based Outpatient Clinic","Yonkers","Yonkers VA Clinic","New York"
"738","VA Medical Center","Asheville","Charles George VA Medical Center","North Carolina"
"739","VA Medical Center","Durham","Durham VA Medical Center","North Carolina"
"740","VA Medical Center","Fayetteville","Fayetteville VA Medical Center","North Carolina"
"741","VA Medical Center","Salisbury","W.G. ""Bill"" Hefner VA Medical Center","North Carolina"
"742","Outpatient Clinic","Charlotte","South Charlotte VA Clinic","North Carolina"
"743","Outpatient Clinic","Fayetteville","Cumberland County VA Clinic","North Carolina"
"744","Outpatient Clinic","Greenville","Greenville VA Clinic","North Carolina"
"745","Outpatient Clinic","Kernersville","Kernersville VA Clinic","North Carolina"
"746","Outpatient Clinic","Raleigh","Blind Rehabilitation Outpatient Clinic (BROC)","North Carolina"
"747","Community Based Outpatient Clinic","Charlotte","North Charlotte VA Clinic","North Carolina"
"748","Community Based Outpatient Clinic","Durham","Hillandale Road VA Clinic","North Carolina"
"749","Community Based Outpatient Clinic","Elizabeth City","Albemarle VA Clinic","North Carolina"
"750","Community Based Outpatient Clinic","Fayetteville","Raeford Road VA Clinic","North Carolina"
"751","Community Based Outpatient Clinic","Fayetteville","Robeson Street VA Clinic","North Carolina"
"752","Community Based Outpatient Clinic","Franklin","Franklin VA Clinic","North Carolina"
"753","Community Based Outpatient Clinic","Goldsboro","Goldsboro VA Clinic","North Carolina"
"754","Community Based Outpatient Clinic","Goldsboro","Johnson Air Force Base VA Clinic","North Carolina"
"755","Community Based Outpatient Clinic","Hamlet","Hamlet VA Clinic","North Carolina"
"756","Community Based Outpatient Clinic","Hickory","Hickory VA Clinic","North Carolina"
"757","Community Based Outpatient Clinic","Jacksonville","Jacksonville VA Clinic","North Carolina"
"758","Community Based Outpatient Clinic","Morehead City","Morehead City VA Clinic","North Carolina"
"759","Community Based Outpatient Clinic","Pembroke","Robeson County VA Clinic","North Carolina"
"760","Community Based Outpatient Clinic","Raleigh","Brier Creek VA Clinic","North Carolina"
"761","Community Based Outpatient Clinic","Raleigh","Raleigh VA Clinic","North Carolina"
"762","Community Based Outpatient Clinic","Raleigh","Wake County VA Clinic","North Carolina"
"763","Community Based Outpatient Clinic","Raleigh","Raleigh III VA Clinic","North Carolina"
"764","Community Based Outpatient Clinic","Rutherfordton","Rutherford County VA Clinic","North Carolina"
"765","Community Based Outpatient Clinic","Sanford","Lee County VA Clinic","North Carolina"
"766","Community Based Outpatient Clinic","Supply","Brunswick County VA Clinic","North Carolina"
"767","Community Based Outpatient Clinic","Wilmington","Wilmington VA Clinic","North Carolina"
"768","VA Medical Center","Fargo","Fargo VA Health Care System","North Dakota"
"769","Community Based Outpatient Clinic","Bismarck","Bismarck VA Clinic","North Dakota"
"770","Community Based Outpatient Clinic","Devils Lake","Devils Lake VA Clinic","North Dakota"
"771","Community Based Outpatient Clinic","Dickinson","Dickinson VA Clinic","North Dakota"
"772","Community Based Outpatient Clinic","Fargo","North Fargo VA Clinic","North Dakota"
"773","Community Based Outpatient Clinic","Grafton","Grafton VA Clinic","North Dakota"
"774","Community Based Outpatient Clinic","Grand Forks","Grand Forks VA Clinic","North Dakota"
"775","Community Based Outpatient Clinic","Jamestown","Jamestown VA Clinic","North Dakota"
"776","Community Based Outpatient Clinic","Minot","Minot VA Clinic","North Dakota"
"777","Community Based Outpatient Clinic","Williston","Williston VA Clinic","North Dakota"
"778","VA Medical Center","Chillicothe","Chillicothe VA Medical Center","Ohio"
"779","VA Medical Center","Cincinnati","Cincinnati VA Medical Center","Ohio"
"780","VA Medical Center","Cleveland","Louis Stokes VA Medical Center","Ohio"
"781","VA Medical Center","Dayton","Dayton VA Medical Center","Ohio"
"782","Outpatient Clinic","Canton","Canton VA Clinic","Ohio"
"783","Outpatient Clinic","Columbus","Chalmers P. Wylie Veterans Outpatient Clinic","Ohio"
"784","Outpatient Clinic","Parma","Parma VA Clinic","Ohio"
"785","Community Based Outpatient Clinic","Akron","Akron VA Clinic","Ohio"
"786","Community Based Outpatient Clinic","Ashtabula","Ashtabula County VA Clinic","Ohio"
"787","Community Based Outpatient Clinic","Calcutta","East Liverpool VA Clinic","Ohio"
"788","Community Based Outpatient Clinic","Cambridge","Cambridge VA Clinic","Ohio"
"789","Community Based Outpatient Clinic","Cincinnati","Clermont County VA Clinic","Ohio"
"790","Community Based Outpatient Clinic","Cincinnati","Highland Avenue VA Clinic","Ohio"
"791","Community Based Outpatient Clinic","Cincinnati","Vine Street VA Clinic","Ohio"
"792","Community Based Outpatient Clinic","Cleveland","Cleveland VA Clinic-Euclid","Ohio"
"793","Community Based Outpatient Clinic","Cleveland","McCafferty VA Clinic","Ohio"
"794","Community Based Outpatient Clinic","Cleveland","Cleveland VA Clinic-Superior","Ohio"
"795","Community Based Outpatient Clinic","Columbus","Columbus VA Clinic","Ohio"
"796","Community Based Outpatient Clinic","Gallipolis","Gallipolis VA Clinic","Ohio"
"797","Community Based Outpatient Clinic","Georgetown","Georgetown VA Clinic","Ohio"
"798","Community Based Outpatient Clinic","Grove City","Grove City VA Clinic","Ohio"
"799","Community Based Outpatient Clinic","Hamilton","Hamilton VA Clinic","Ohio"
"800","Community Based Outpatient Clinic","Lancaster","Lancaster VA Clinic","Ohio"
"801","Community Based Outpatient Clinic","Lima","Lima VA Clinic","Ohio"
"802","Community Based Outpatient Clinic","Mansfield","David F. Winder CBOC","Ohio"
"803","Community Based Outpatient Clinic","Marietta","Marietta VA Clinic","Ohio"
"804","Community Based Outpatient Clinic","Marion","Marion VA Clinic","Ohio"
"805","Community Based Outpatient Clinic","Middletown","Middletown VA Clinic","Ohio"
"806","Community Based Outpatient Clinic","New Boston","Portsmouth VA Clinic","Ohio"
"807","Community Based Outpatient Clinic","New Philadelphia","New Philadelphia VA Clinic","Ohio"
"808","Community Based Outpatient Clinic","Newark","Daniel L. Kinnard VA Clinic","Ohio"
"809","Community Based Outpatient Clinic","Norwood","Norwood VA Clinic","Ohio"
"810","Community Based Outpatient Clinic","Painesville","Painesville Multi-Specialty Outpatient Clinic","Ohio"
"811","Community Based Outpatient Clinic","Ravenna","Ravenna VA Clinic","Ohio"
"812","Community Based Outpatient Clinic","Sandusky","Sandusky VA Clinic","Ohio"
"813","Community Based Outpatient Clinic","Sheffield Village","Lorain VA Clinic","Ohio"
"814","Community Based Outpatient Clinic","Springfield","Springfield VA Clinic","Ohio"
"815","Community Based Outpatient Clinic","St. Clairsville","Belmont County VA Clinic","Ohio"
"816","Community Based Outpatient Clinic","The Plains","Athens VA Clinic","Ohio"
"817","Community Based Outpatient Clinic","Toledo","Toledo VA Clinic","Ohio"
"818","Community Based Outpatient Clinic","Warren","Warren VA Clinic","Ohio"
"819","Community Based Outpatient Clinic","Willoughby","Lake County VA Clinic","Ohio"
"820","Community Based Outpatient Clinic","Wilmington","Wilmington VA Clinic","Ohio"
"821","Community Based Outpatient Clinic","Wright Patterson AFB","Wright-Patterson VA Clinic","Ohio"
"822","Community Based Outpatient Clinic","Youngstown","Carl Nunziato VA Clinic","Ohio"
"823","Community Based Outpatient Clinic","Zanesville","Zanesville VA Clinic","Ohio"
"824","VA Medical Center","Muskogee","Eastern Oklahoma VA Health Care System – Jack C. Montgomery VA Medical Center","Oklahoma"
"825","VA Medical Center","Oklahoma City","Oklahoma City VA Medical Center","Oklahoma"
"826","Outpatient Clinic","Tulsa","Ernest Childers Outpatient Clinic","Oklahoma"
"827","Community Based Outpatient Clinic","Ada","Ada VA Clinic","Oklahoma"
"828","Community Based Outpatient Clinic","Altus","Altus VA Clinic","Oklahoma"
"829","Community Based Outpatient Clinic","Admore","Ardmore VA Clinic","Oklahoma"
"830","Community Based Outpatient Clinic","Blackwell","Blackwell VA Clinic","Oklahoma"
"831","Community Based Outpatient Clinic","Fort Sill","Lawton VA Clinic","Oklahoma"
"832","Community Based Outpatient Clinic","Idabel","McCurtain County VA Clinic","Oklahoma"
"833","Community Based Outpatient Clinic","Jay","Jay VA Clinic","Oklahoma"
"834","Community Based Outpatient Clinic","Muskogee","Muskogee East VA Clinic","Oklahoma"
"835","Community Based Outpatient Clinic","Oklahoma City","Fourteenth Street VA Clinic","Oklahoma"
"836","Community Based Outpatient Clinic","Oklahoma City","North May VA Clinic","Oklahoma"
"837","Community Based Outpatient Clinic","Tulsa","Tulsa Eleventh Street VA Clinic","Oklahoma"
"838","Community Based Outpatient Clinic","Tulsa","Yale Avenue VA Clinic","Oklahoma"
"839","Community Based Outpatient Clinic","Vinita","Vinita VA Clinic","Oklahoma"
"840","VA Medical Center","Portland","VA Portland Health Care System – Portland VA Medical Center","Oregon"
"841","VA Medical Center","Roseburg","VA Roseburg Healthcare System","Oregon"
"842","VA Medical Center","White City","White City VA Medical Center","Oregon"
"843","Outpatient Clinic","Eugene","Eugene VA Health Care Center","Oregon"
"844","Community Based Outpatient Clinic","Astoria","Astoria VA Clinic","Oregon"
"845","Community Based Outpatient Clinic","Bend","Robert D. Maxwell VA Clinic","Oregon"
"846","Community Based Outpatient Clinic","Boardman","Morrow County VA Clinic","Oregon"
"847","Community Based Outpatient Clinic","Brookings","Brookings VA Clinic","Oregon"
"848","Community Based Outpatient Clinic","Enterprise","Wallowa County VA Clinic","Oregon"
"849","Community Based Outpatient Clinic","Eugene","Downtown Eugene VA Clinic","Oregon"
"850","Community Based Outpatient Clinic","Fairview","Fairview VA Clinic","Oregon"
"851","Community Based Outpatient Clinic","Grants Pass","Grants Pass VA Clinic","Oregon"
"852","Community Based Outpatient Clinic","Hines","Eastern Oregon VA Clinic","Oregon"
"853","Community Based Outpatient Clinic","Hillsboro","Hillsboro VA Clinic","Oregon"
"854","Community Based Outpatient Clinic","Klamath Falls","Klamath Falls VA Clinic","Oregon"
"855","Community Based Outpatient Clinic","La Grande","La Grande VA Clinic","Oregon"
"856","Community Based Outpatient Clinic","Lincoln City","Lincoln City Clinic","Oregon"
"857","Community Based Outpatient Clinic","Newport","Newport VA Clinic","Oregon"
"858","Community Based Outpatient Clinic","North Bend","North Bend VA Clinic","Oregon"
"859","Community Based Outpatient Clinic","Portland","Portland VA Clinic","Oregon"
"860","Community Based Outpatient Clinic","Salem","Salem VA Clinic","Oregon"
"861","Community Based Outpatient Clinic","The Dalles","Loren R. Kaufman VA Clinic","Oregon"
"862","Community Based Outpatient Clinic","Warrenton","North Coast VA Clinic","Oregon"
"863","Community Based Outpatient Clinic","West Linn","West Linn VA Clinic","Oregon"
"864","VA Medical Center","Altoona","James E. Van Zandt VA Medical Center","Pennsylvania"
"865","VA Medical Center","Butler","VA Butler Healthcare","Pennsylvania"
"866","VA Medical Center","Coatesville","Coatesville VA Medical Center","Pennsylvania"
"867","VA Medical Center","Erie","Erie VA Medical Center","Pennsylvania"
"868","VA Medical Center","Lebanon","Lebanon VA Medical Center","Pennsylvania"
"869","VA Medical Center","Philadelphia","Corporal Michael J. Crescenz VA Medical Center","Pennsylvania"
"870","VA Medical Center","Pittsburgh","H. John Heinz III Department of Veterans Affairs Medical Center","Pennsylvania"
"871","VA Medical Center","Pittsburgh","Pittsburgh VA Medical Center-University Drive","Pennsylvania"
"872","VA Medical Center","Wilkes-Barre","Wilkes-Barre VA Medical Center","Pennsylvania"
"873","Community Service Programs","Philadelphia","Philadelphia MultiService Center","Pennsylvania"
"874","Community Based Outpatient Clinic","Allentown","Allentown VA Clinic","Pennsylvania"
"875","Community Based Outpatient Clinic","Bangor","Northampton County VA Clinic","Pennsylvania"
"876","Community Based Outpatient Clinic","Berwick","Columbia County VA Clinic","Pennsylvania"
"877","Community Based Outpatient Clinic","Bradford","McKean County VA Clinic","Pennsylvania"
"878","Community Based Outpatient Clinic","Butler","Abie Abraham VA Clinic","Pennsylvania"
"879","Community Based Outpatient Clinic","Coudersport","Coudersport VA Clinic","Pennsylvania"
"880","Community Based Outpatient Clinic","Cranberry Township","Cranberry Township VA Clinic","Pennsylvania"
"881","Community Based Outpatient Clinic","DuBois","DuBois VA Clinic","Pennsylvania"
"882","Community Based Outpatient Clinic","Franklin","Venango County VA Clinic","Pennsylvania"
"883","Community Based Outpatient Clinic","Hermitage","Michael A. Marzano Department of Veterans Affairs Outpatient Clinic","Pennsylvania"
"884","Community Based Outpatient Clinic","Honesdale","Wayne County VA Clinic","Pennsylvania"
"885","Community Based Outpatient Clinic","Horsham","Victor J. Saracini Department of Veterans Affairs Outpatient Clinic","Pennsylvania"
"886","Community Based Outpatient Clinic","Indiana","Indiana County VA Clinic","Pennsylvania"
"887","Community Based Outpatient Clinic","Johnstown","Johnstown VA Clinic","Pennsylvania"
"888","Community Based Outpatient Clinic","Kittanning","Armstrong County VA Clinic","Pennsylvania"
"889","Community Based Outpatient Clinic","Meadville","Crawford County VA Clinic","Pennsylvania"
"890","Community Based Outpatient Clinic","Mapleton Depot","Huntingdon County VA Clinic","Pennsylvania"
"891","Community Based Outpatient Clinic","Mechanicsburg","Cumberland County VA Clinic","Pennsylvania"
"892","Community Based Outpatient Clinic","New Castle","Lawrence County VA Clinic","Pennsylvania"
"893","Community Based Outpatient Clinic","Newtown Square","Delaware County VA Clinic","Pennsylvania"
"894","Community Based Outpatient Clinic","Monroe Township","Clarion County VA Clinic","Pennsylvania"
"895","Community Based Outpatient Clinic","Philadelphia","Chestnut Street VA Clinic","Pennsylvania"
"896","Community Based Outpatient Clinic","Philadelphia","Fourth Street VA Clinic","Pennsylvania"
"897","Community Based Outpatient Clinic","Philadelphia","West Philadelphia VA Clinic","Pennsylvania"
"898","Community Based Outpatient Clinic","Pottsville","Schuylkill County VA Clinic","Pennsylvania"
"899","Community Based Outpatient Clinic","Rochester","Beaver County VA Clinic","Pennsylvania"
"900","Community Based Outpatient Clinic","Sayre","Sayre VA Clinic","Pennsylvania"
"901","Community Based Outpatient Clinic","Spring City","Spring City VA Clinic","Pennsylvania"
"902","Community Based Outpatient Clinic","State College","State College VA Clinic","Pennsylvania"
"903","Community Based Outpatient Clinic","Tobyhanna Army Depot","Tobyhanna VA Clinic","Pennsylvania"
"904","Community Based Outpatient Clinic","Uniontown","Fayette County VA Clinic","Pennsylvania"
"905","Community Based Outpatient Clinic","Warren","Warren County VA Clinic","Pennsylvania"
"906","Community Based Outpatient Clinic","Washington","Washington County VA Clinic","Pennsylvania"
"907","Community Based Outpatient Clinic","Williamsport","Williamsport VA Clinic","Pennsylvania"
"908","Community Based Outpatient Clinic","Willow Street","Lancaster County VA Clinic","Pennsylvania"
"909","Community Based Outpatient Clinic","Wyomissing","Berks County VA Clinic","Pennsylvania"
"910","Community Based Outpatient Clinic","York","York VA Clinic","Pennsylvania"
"911","VA Medical Center","San Juan","San Juan VA Medical Center","Puerto Rico"
"912","Outpatient Clinic","Mayagüez","Mayagüez VA Clinic","Puerto Rico"
"913","Outpatient Clinic","Ponce","Eurípides Rubio Ponce VA Outpatient Clinic","Puerto Rico"
"914","Community Based Outpatient Clinic","Arecibo","Arecibo VA Clinic","Puerto Rico"
"915","Community Based Outpatient Clinic","Ceiba","Ceiba VA Clinic","Puerto Rico"
"916","Community Based Outpatient Clinic","Comerío","Comerío VA Clinic","Puerto Rico"
"917","Community Based Outpatient Clinic","Guayama","Guayama VA Clinic","Puerto Rico"
"918","Community Based Outpatient Clinic","Hato Rey","Hato Rey VA Clinic","Puerto Rico"
"919","Community Based Outpatient Clinic","Utuado","Utuado VA Clinic","Puerto Rico"
"920","Community Based Outpatient Clinic","Vieques","Vieques VA Clinic","Puerto Rico"
"921","VA Medical Center","Providence","Providence VA Medical Center","Rhode Island"
"922","Community Based Outpatient Clinic","Middletown","Middletown VA Clinic","Rhode Island"
"923","VA Medical Center","Charleston","Ralph H. Johnson VA Medical Center","South Carolina"
"924","VA Medical Center","Columbia","Columbia VA Health Care System – Wm. Jennings Bryan Dorn VA Medical Center","South Carolina"
"925","Outpatient Clinic","Greenville","Lance Corporal Dana Cornell Darnell VA Clinic","South Carolina"
"926","Community Based Outpatient Clinic","Aiken","Aiken VA Clinic","South Carolina"
"927","Community Based Outpatient Clinic","Anderson","Anderson VA Clinic","South Carolina"
"928","Community Based Outpatient Clinic","Florence","Florence VA Clinic","South Carolina"
"929","Community Based Outpatient Clinic","Joint Base Charleston","Goose Creek VA Clinic","South Carolina"
"930","Community Based Outpatient Clinic","Myrtle Beach","Market Commons VA Clinic","South Carolina"
"931","Community Based Outpatient Clinic","Myrtle Beach","Myrtle Beach VA Clinic","South Carolina"
"932","Community Based Outpatient Clinic","Naval Hospital Beaufort","Beaufort VA Clinic","South Carolina"
"933","Community Based Outpatient Clinic","North Charleston","North Charleston VA Clinic","South Carolina"
"934","Community Based Outpatient Clinic","Orangeburg","Orangeburg VA Clinic","South Carolina"
"935","Community Based Outpatient Clinic","Rock Hill","Rock Hill VA Clinic","South Carolina"
"936","Community Based Outpatient Clinic","Spartanburg","Spartanburg VA Clinic","South Carolina"
"937","Community Based Outpatient Clinic","Sumter","Sumter VA Clinic","South Carolina"
"938","VA Medical Center","Fort Meade","VA Black Hills Health Care System – Fort Meade Campus","South Dakota"
"939","VA Medical Center","Hot Springs","VA Black Hills Health Care System – Hot Springs Campus","South Dakota"
"940","VA Medical Center","Sioux Falls","Sioux Falls VA Health Care System – Royal C. Johnson Veterans Memorial Hospital","South Dakota"
"941","Community Based Outpatient Clinic","Aberdeen","Aberdeen VA Clinic","South Dakota"
"942","Community Based Outpatient Clinic","Dakota Dunes","Sioux City VA Clinic","South Dakota"
"943","Community Based Outpatient Clinic","Mission","Mission VA Clinic","South Dakota"
"944","Community Based Outpatient Clinic","Pierre","Pierre VA Clinic","South Dakota"
"945","Community Based Outpatient Clinic","Pine Ridge","Pine Ridge VA Clinic","South Dakota"
"946","Community Based Outpatient Clinic","Rapid City","Rapid City VA Clinic","South Dakota"
"947","Community Based Outpatient Clinic","Wagner","Wagner VA Clinic","South Dakota"
"948","Community Based Outpatient Clinic","Watertown","Watertown VA Clinic","South Dakota"
"949","Community Based Outpatient Clinic","Winner","Winner VA Clinic","South Dakota"
"950","VA Medical Center","Memphis","Lt. Col. Luke Weathers, Jr. Memphis VA Medical Center","Tennessee"
"951","VA Medical Center","Mountain Home","Mountain Home VA Healthcare System – James H. Quillen VA Medical Center","Tennessee"
"952","VA Medical Center","Murfreesboro","Alvin C. York Veterans' Administration Medical Center","Tennessee"
"953","VA Medical Center","Nashville","Nashville VA Medical Center","Tennessee"
"954","Outpatient Clinic","Knoxville","William C. Tallent Department of Veterans Affairs Outpatient Clinic","Tennessee"
"955","Community Based Outpatient Clinic","Arnold AFB","Tullahoma VA Clinic","Tennessee"
"956","Community Based Outpatient Clinic","Athens","Athens VA Clinic","Tennessee"
"957","Community Based Outpatient Clinic","Chattanooga","Chattanooga VA Clinic","Tennessee"
"958","Community Based Outpatient Clinic","Clarksville","Clarksville VA Clinic","Tennessee"
"959","Community Based Outpatient Clinic","Clarksville","Dalton Drive VA Clinic","Tennessee"
"960","Community Based Outpatient Clinic","Columbia","Maury County VA Clinic","Tennessee"
"961","Community Based Outpatient Clinic","Cookeville","Cookeville VA Clinic","Tennessee"
"962","Community Based Outpatient Clinic","Dover","Dover VA Clinic","Tennessee"
"963","Community Based Outpatient Clinic","Dyersburg","Dyersburg VA Clinic","Tennessee"
"964","Community Based Outpatient Clinic","Gallatin","Gallatin VA Clinic","Tennessee"
"965","Community Based Outpatient Clinic","Harriman","Roane County VA Clinic","Tennessee"
"966","Community Based Outpatient Clinic","Jackson","Jackson VA Clinic","Tennessee"
"967","Community Based Outpatient Clinic","LaFollette","Campbell County VA Clinic","Tennessee"
"968","Community Based Outpatient Clinic","Memphis","Covington VA Clinic","Tennessee"
"969","Community Based Outpatient Clinic","Memphis","Nonconnah Boulevard VA Clinic","Tennessee"
"970","Community Based Outpatient Clinic","Memphis","Union Avenue VA Clinic","Tennessee"
"971","Community Based Outpatient Clinic","McMinnville","McMinnville VA Clinic","Tennessee"
"972","Community Based Outpatient Clinic","Morristown","Morristown VA Clinic","Tennessee"
"973","Community Based Outpatient Clinic","Murfreesboro","Glenis Drive VA Clinic","Tennessee"
"974","Community Based Outpatient Clinic","Murfreesboro","Glenis Drive 2 VA Clinic","Tennessee"
"975","Community Based Outpatient Clinic","Nashville","Albion Street VA Clinic","Tennessee"
"976","Community Based Outpatient Clinic","Nashville","Charlotte Avenue VA Clinic","Tennessee"
"977","Community Based Outpatient Clinic","Nashville","International Plaza VA Clinic","Tennessee"
"978","Community Based Outpatient Clinic","Rogersville","Rogersville VA Clinic","Tennessee"
"979","Community Based Outpatient Clinic","Savannah","Savannah VA Clinic","Tennessee"
"980","Community Based Outpatient Clinic","Sevierville","Dannie A. Carr Veterans Outpatient Clinic","Tennessee"
"981","VA Medical Center","Amarillo","Amarillo VA Health Care System – Thomas E. Creek VA Medical Center","Texas"
"982","VA Medical Center","Big Spring","West Texas VA Health Care System – George H. O'Brien Department of Veterans Affairs Medical Center","Texas"
"983","VA Medical Center","Dallas","Dallas VA Medical Center","Texas"
"984","VA Medical Center","Houston","Michael E. DeBakey Veterans Affairs Medical Center","Texas"
"985","VA Medical Center","Kerrville","Kerrville VA Medical Center","Texas"
"986","VA Medical Center","San Antonio","Audie L. Murphy Memorial VA Hospital[3]","Texas"
"987","VA Medical Center","Temple","Central Texas Veterans Health Care System – Olin E. Teague Veterans' Center","Texas"
"988","VA Medical Center","Waco","Doris Miller Department of Veterans Affairs Medical Center","Texas"
"989","Outpatient Clinic","Austin","Austin VA Clinic","Texas"
"990","Outpatient Clinic","Corpus Christi","Corpus Christi West Point VA Clinic","Texas"
"991","Outpatient Clinic","El Paso","El Paso VA Clinic","Texas"
"992","Outpatient Clinic","Fort Worth","Fort Worth VA Clinic","Texas"
"993","Outpatient Clinic","Harlingen","Harlingen VA Clinic","Texas"
"994","Outpatient Clinic","Laredo","Laredo VA Clinic","Texas"
"995","Outpatient Clinic","Lubbock","Lubbock VA Clinic","Texas"
"996","Outpatient Clinic","McAllen","McAllen VA Clinic","Texas"
"997","Outpatient Clinic","San Antonio","Frank M. Tejeda VA Outpatient Clinic","Texas"
"998","Outpatient Clinic","San Antonio","North Central Federal VA Clinic","Texas"
"999","Outpatient Clinic","Tomball","Tomball VA Clinic","Texas"
"1000","Community Based Outpatient Clinic","Abilene","Abilene VA Clinic","Texas"
"1001","Community Based Outpatient Clinic","Beaumont","Beaumont VA Clinic","Texas"
"1002","Community Based Outpatient Clinic","Beeville","Beeville VA Clinic","Texas"
"1003","Community Based Outpatient Clinic","Bonham","Sam Rayburn Memorial Veterans Center","Texas"
"1004","Community Based Outpatient Clinic","Brownsville","Brownsville VA Clinic","Texas"
"1005","Community Based Outpatient Clinic","Brownwood","Brownwood VA Clinic","Texas"
"1006","Community Based Outpatient Clinic","Cedar Park","Cedar Park VA Clinic","Texas"
"1007","Community Based Outpatient Clinic","Childress","Childress VA Clinic","Texas"
"1008","Community Based Outpatient Clinic","College Station","Bryan VA Clinic","Texas"
"1009","Community Based Outpatient Clinic","Conroe","Conroe VA Clinic","Texas"
"1010","Community Based Outpatient Clinic","Corpus Christi","Corpus Christi VA Clinic","Texas"
"1011","Community Based Outpatient Clinic","Corpus Christi","Old Brownsville VA Clinic","Texas"
